white,black,asian,other,hs,assoc,bach,post-bach,age,income,owner occ,renter occ,vacancy,year built,house value
4.5,94.15,0.18,0.18,17.06,5.23,4.74,0.99,28.4,28300.0,37.58,62.42,14.87,1969.0,67800.0
9.56,88.73,0.0,0.94,13.66,0.0,8.45,2.22,31.7,32810.0,42.49,57.51,20.18,1966.0,58300.0
4.91,94.16,0.39,0.0,36.68,0.0,1.4,0.0,24.4,30641.0,53.13,46.87,4.31,1960.0,103300.0
4.08,94.26,0.0,0.44,25.06,0.0,9.93,3.64,39.7,30875.0,50.68,49.32,12.01,1970.0,104700.0
4.64,93.6,0.0,0.09,7.7,1.67,0.0,1.3,23.8,21392.0,18.64,81.36,0.0,1972.0,59300.0
5.66,92.39,0.19,0.65,14.94,3.15,12.8,0.0,28.3,36833.0,60.85,39.15,5.1,1959.0,79800.0
7.79,89.29,0.08,0.16,17.84,8.84,2.6,1.05,32.3,36994.0,58.34,41.66,4.17,1967.0,76100.0
5.24,93.43,0.06,0.28,28.02,0.0,1.67,0.89,30.8,32500.0,70.81,29.19,13.87,1955.0,73800.0
8.54,89.85,0.31,0.08,25.85,5.46,4.69,0.85,30.4,27903.0,56.64,43.36,3.96,1964.0,68800.0
4.49,94.89,0.0,0.0,34.83,4.09,1.43,0.0,30.0,42909.0,61.99,38.01,10.99,1964.0,82900.0
5.98,92.15,0.25,0.75,14.45,1.25,0.0,0.0,30.7,20508.0,31.68,68.32,14.22,1968.0,64000.0
2.61,96.89,0.0,0.06,14.47,0.81,2.48,0.0,32.5,22241.0,42.78,57.22,19.14,1954.0,75100.0
2.54,94.91,0.71,0.0,19.94,1.93,3.05,0.1,28.6,20398.0,18.24,81.76,5.2,1953.0,53000.0
2.95,96.15,0.13,0.19,19.11,2.89,1.09,0.0,30.8,16250.0,19.83,80.17,13.81,1955.0,69800.0
2.02,96.45,0.32,0.4,13.65,0.73,1.45,1.94,28.7,20769.0,31.59,68.41,5.19,1969.0,68300.0
4.4,94.33,0.0,0.0,29.1,5.52,3.58,2.01,34.2,32121.0,55.12,44.88,16.64,1959.0,74700.0
3.37,95.69,0.0,0.09,16.03,0.94,0.0,1.78,27.2,29271.0,40.52,59.48,24.11,1958.0,79900.0
3.05,95.31,0.0,0.82,7.39,0.82,2.58,0.94,29.3,20188.0,27.59,72.41,8.3,1950.0,63700.0
1.87,96.26,0.0,0.23,25.85,1.64,1.17,0.0,31.3,29073.0,26.55,73.45,0.0,1963.0,69500.0
1.59,97.45,0.0,0.0,27.07,1.27,0.0,0.0,42.8,16611.0,43.72,56.28,10.69,1967.0,62800.0
0.96,98.28,0.0,0.38,34.64,0.0,1.05,4.11,37.2,33958.0,74.9,25.1,0.0,1957.0,78200.0
